statefp,countyfp,area
"42","067",1019.199
"26","107",1479.509
"48","075",1848.515
"21","227",1418.185
"19","051",1307.566
"12","075",3659.118
"29","169",1428.327
"31","009",1850.118
"48","151",2335.531
"13","069",1560.856
"19","083",1476.282
"45","037",1313.245
"33","015",2059.682
"48","405",1534.040
"18","085",1435.871
"48","199",2324.650
"36","099",1011.233
"54","071",1808.189
"41","055",2152.769
"29","215",3054.175
"05","119",2090.570
"40","023",2070.758
"53","071",3364.303
"48","263",2338.547
"30","099",5936.084
"37","053",1363.440
"18","029",796.167
"39","137",1254.328
"48","411",2948.517
"21","185",508.760
"38","065",1893.493
"50","027",2530.557
"15","001",13173.110
"26","083",15452.557
"45","065",1020.120
"30","061",3168.697
"18","133",1250.172
"13","317",1227.898
"13","035",487.024
"38","069",2803.573
"13","187",736.096
"51","199",556.488
"26","073",1496.231
"47","045",1363.715
"25","021",
"53","067",2004.885
"37","047",2473.434
"48","441",2380.989
"19","189",1040.444
"48","505",2740.248
"21","019",419.635
"47","101",731.640
"51","810",1288.516
"44","003",487.275
"29","143",1804.112
"53","059",4368.221
"31","109",2192.120
"48","327",2336.852
"13","171",481.309
"16","051",2863.786
"47","115",1326.958
"51","181",803.693
"56","013",23998.160
"27","095",1765.348
"08","017",4613.881
"16","045",1462.288
"26","153",4879.356
"13","045",1304.777
"38","013",2923.894
"48","123",2358.158
"02","220",12471.163
"24","015",1082.194
"02","290",382984.124
"04","017",25794.646
"31","131",1603.251
"31","099",1337.338
"51","073",745.872
"20","187",1762.282
"29","163",1773.405
"22","037",1180.459
"29","165",1104.233
"42","015",3007.027
"17","159",937.359
"39","023",1042.519
"51","770",110.985
"47","179",854.241
"12","117",894.425
"46","061",1127.566
"16","085",9669.724
"54","033",1078.775
"17","199",1150.809
"08","001",3065.040
"78","010",861.560
"48","201",4603.667
"53","009",6912.724
"05","107",1883.808
"24","031",1312.880
"48","419",2161.648
"72","129",137.804
"27","037",1519.827
"19","175",1102.812
"21","039",515.355
"60","010",414.850
"51","049",776.444
"28","117",1083.131
"42","111",2799.600
"13","245",851.030
"27","159",1406.960
"37","097",1547.341
"30","017",9824.337
"19","161",1497.870
"19","067",1298.574
"29","207",2147.156
"37","071",941.939
"21","099",1082.223
"20","159",1885.419
"20","135",2784.230
"34","013",335.196
"72","017",80.071
"42","045",493.661
"06","099",3921.019
"35","025",11382.212
"42","055",2001.793
"42","079",2347.214
"26","039",1458.996
"48","307",2780.180
"29","091",2404.476
"72","025",152.984
"05","035",1648.317
"31","091",1868.679
"51","640",21.437
"34","031",513.825
"37","103",1226.869
"21","009",1294.993
"30","023",1920.199
"53","035",1465.496
"22","071",906.099
"12","039",1368.881
"28","075",1852.239
"16","027",1563.569
"20","069",2251.470
"13","111",1016.071
"37","043",571.822
"48","011",2366.801
"01","091",2545.107
"01","049",2016.798
"50","011",1792.564
"48","391",2119.235
"19","053",1381.708
"21","061",797.727
"24","001",1108.264
"18","117",1057.212
"19","151",1498.714
"05","019",2286.518
"48","413",3394.634
"20","151",1905.513
"51","097",845.162
"17","035",898.528
"18","143",499.215
"40","101",2175.626
"48","367",2357.134
"13","183",1045.869
"26","149",1349.452
"34","039",273.217
"36","027",2137.635
"56","017",5196.555
"48","333",1941.890
"48","403",1493.460
"55","123",2114.425
"40","097",1770.283
"16","013",6876.367
"08","031",
"37","005",610.816
"40","033",1662.509
"29","221",1974.835
"17","001",2256.581
"45","031",1466.586
"55","137",1650.847
"02","110",8429.638
"31","045",3628.746
"26","129",1489.108
"48","131",4650.563
"55","065",1643.524
"01","093",1925.841
"21","095",1212.508
"51","037",1236.820
"38","103",3341.832
"39","041",1184.476
"48","065",2393.424
"13","033",2162.595
"16","067",1974.539
"21","059",1234.315
"29","149",2050.092
"26","127",3382.396
"01","011",1619.114
"36","023",1298.929
"42","029",
"24","033",1291.980
"39","099",1101.230
"36","085",264.925
"27","077",4609.064
"55","121",1921.844
"20","107",1570.556
"05","013",1637.902
"08","091",1404.319
"47","125",1408.511
"38","055",6029.390
"01","047",2574.045
"37","195",966.345
"47","079",1536.903
"18","053",1074.586
"13","257",477.072
"48","097",2327.109
"12","071",3140.031
"51","171",1325.636
"21","107",1435.929
"04","009",12018.084
"30","109",2305.737
"13","315",989.673
"16","075",1062.721
"48","095",2573.654
"47","131",1438.597
"27","031",8649.863
"30","009",5338.942
"55","013",2279.771
"37","141",2419.479
"09","001",2167.945
"51","710",249.683
"56","045",6216.030
"13","161",868.677
"48","315",1088.630
"18","075",994.769
"54","089",952.408
"01","079",1857.547
"48","421",2390.621
"29","113",1658.791
"48","013",3163.593
"13","219",482.708
"12","079",1853.636
"31","159",1491.538
"39","019",1033.224
"22","091",1060.569
"55","139",1498.492
"30","021",6173.145
"04","001",29056.191
"13","253",664.477
"48","171",2749.732
"51","099",486.321
"42","075",938.871
"29","057",1311.194
"39","105",1121.478
"40","099",1101.117
"10","001",2067.666
"30","081",6216.865
"20","117",2344.177
"30","105",13110.011
"51","187",564.220
"18","041",557.268
"31","081",1410.869
"13","207",1031.516
"47","053",1563.448
"51","149",729.977
"38","027",1668.324
"53","053",4676.121
"40","025",4768.056
"31","125",1160.912
"06","021",3436.854
"33","001",1217.321
"51","159",560.384
"05","057",1919.640
"35","035",17163.402
"72","115",88.972
"29","117",1394.845
"13","063",373.919
"27","073",2015.038
"55","053",2591.226
"31","017",3173.111
"21","077",271.218
"21","017",755.269
"17","147",1138.246
"19","101",1131.525
"29","179",2109.320
"26","159",2822.838
"47","105",
"13","129",928.912
"12","055",2866.395
"31","157",1930.477
"16","019",4921.728
"21","087",747.966
"46","137",5103.802
"72","029",85.492
"37","051",1705.409
"46","119",2771.787
"55","059",1952.917
"26","139",4225.334
"08","015",2628.716
"38","089",3471.433
"06","089",9964.710
"22","113",3993.942
"37","193",1961.112
"26","021",4095.994
"26","119",1457.234
"17","163",1745.398
"48","137",5490.460
"17","065",1128.904
"56","037",27171.988
"05","031",1845.937
"01","121",1969.221
"26","155",1401.032
"51","620",21.666
"20","189",1884.059
"01","003",5250.603
"13","263",1022.430
"13","085",555.315
"39","135",1104.804
"08","089",3288.517
"13","097",520.779
"37","135",1038.480
"36","079",637.787
"48","093",2454.489
"29","186",1312.540
"31","163",1480.551
"48","491",2938.110
"55","073",4082.687
"53","073",6487.606
"05","009",1559.173
"29","111",1322.954
"40","009",2340.853
"53","003",1658.720
"36","073",2117.109
"26","137",1362.911
"27","173",1976.751
"21","025",1282.738
"45","067",1279.885
"19","015",1485.688
"37","147",1697.868
"19","099",1898.339
"48","287",1642.312
"06","001",2126.522
"20","193",2783.714
"20","143",1868.251
"47","157",2033.222
"21","085",1323.555
"56","029",18039.668
"19","019",1484.310
"27","069",2858.307
"29","141",1590.282
"47","007",1053.474
"13","175",2119.829
"36","061",
"05","039",1730.387
"51","630",27.245
"48","125",2344.513
"55","091",644.136
"20","097",1872.225
"48","233",2317.916
"48","465",8372.576
"55","049",1989.250
"12","001",2509.203
"42","017",1610.598
"30","035",7862.889
"12","113",3040.072
"21","203",823.865
"18","103",977.432
"21","149",663.648
"41","059",8369.597
"46","102",5429.529
"12","061",1597.783
"42","103",1468.134
"20","163",2318.417
"13","117",640.038
"46","111",1477.461
"40","051",2861.761
"55","078",945.240
"35","061",2765.615
"55","029",6138.882
"29","029",1835.429
"40","047",2745.597
"26","091",1972.024
"41","063",8162.028
"51","735",203.293
"45","023",1518.155
"32","003",20877.695
"36","003",2679.029
"13","119",690.174
"21","097",802.585
"42","059",1496.955
"27","001",5167.808
"48","309",2746.017
"47","165",1406.925
"13","297",854.696
"50","017",1791.406
"18","031",966.902
"51","005",1164.779
"27","133",1250.259
"39","015",1278.034
"29","067",2109.794
"05","129",1731.213
"28","097",1056.427
"48","223",2053.269
"40","089",4927.702
"36","043",3776.228
"47","173",640.083
"55","003",5937.188
"42","035",2323.047
"55","125",2635.874
"19","113",1876.884
"13","215",572.416
"20","005",1123.588
"51","093",939.721
"55","131",1128.362
"47","161",1276.897
"08","103",8347.144
"08","087",3351.105
"37","067",1067.934
"42","113",1171.956
"20","089",2368.181
"40","011",2431.628
"53","037",6042.414
"48","377",9986.832
"20","065",2327.773
"01","001",1565.309
"53","047",13759.778
"24","023",1703.601
"72","099",130.440
"18","019",974.871
"55","087",1669.527
"05","033",1566.238
"31","111",6669.523
"48","067",2487.224
"28","137",1064.423
"17","073",2138.524
"41","041",3093.879
"17","061",1414.889
"22","115",3474.430
"72","091",183.077
"51","191",1466.384
"28","013",1522.809
"55","051",2380.624
"26","141",6663.398
"36","105",2581.498
"37","105",671.333
"20","105",1865.975
"13","247",342.131
"31","021",1287.388
"01","005",2342.684
"27","131",1336.281
"13","281",444.932
"54","095",675.201
"53","017",4788.378
"48","081",2403.485
"37","129",851.741
"24","037",1979.403
"35","057",8666.379
"20","017",2014.290
"13","029",1177.036
"54","085",1175.073
"49","001",6694.981
"26","145",2113.341
"72","061",71.913
"21","153",800.714
"48","109",9873.997
"13","271",1149.978
"19","143",1034.429
"17","165",1002.149
"21","027",1516.756
"39","013",1401.895
"27","091",1889.597
"17","195",1803.693
"48","141",2629.591
"28","119",1052.652
"28","157",1781.306
"22","125",
"49","023",8820.950
"40","137",2308.664
"29","205",1300.995
"48","501",2071.287
"28","133",1830.934
"13","055",812.083
"21","215",496.400
"72","101",100.816
"26","061",3888.914
"05","115",2151.648
"30","043",4297.860
"51","059",
"47","001",893.018
"42","125",2229.738
"53","045",2722.189
"30","063",6780.450
"19","077",1536.054
"13","127",1515.785
"46","053",2728.608
"45","011",1443.303
"01","055",1420.940
"55","011",1837.840
"39","103",1095.767
"53","021",3276.228
"31","023",1530.194
"12","131",3210.536
"26","103",8870.760
"31","015",1410.318
"21","209",739.215
"47","013",1290.111
"08","067",4401.898
"26","003",13073.446
"72","067",29.385
"29","109",1588.641
"38","081",2245.194
"17","029",1321.068
"27","121",1857.307
"51","057",740.651
"35","047",12280.048
"26","071",3136.720
"05","141",1875.939
"39","091",1209.128
"20","139",1864.390
"48","225",3202.714
"28","019",1087.420
"17","059",849.806
"39","087",1184.335
"26","015",1494.533
"37","169",1180.524
"39","129",1311.965
"38","047",2618.529
"17","041",1080.559
"05","065",1512.649
"29","051",1033.211
"29","173",1253.124
"48","159",763.445
"13","099",1337.329
"28","101",1501.162
"36","045",4810.534
"28","135",1689.039
"35","013",9880.755
"55","067",2299.376
"19","021",1502.780
"13","261",1275.858
"41","057",3450.922
"48","329",2336.169
"51","660",45.039
"21","091",515.114
"46","013",4483.143
"20","045",1229.303
"48","145",2004.239
"47","083",536.062
"51","077",1154.012
"04","005",48333.883
"39","079",1091.767
"01","087",1588.201
"41","019",13294.302
"23","027",2208.631
"20","133",1496.481
"21","089",918.037
"21","101",1206.870
"72","047",110.265
"40","149",2612.569
"24","035",1322.694
"20","013",1481.746
"72","107",165.191
"47","059",1616.510
"38","067",2904.373
"06","065",18915.097
"19","169",1485.745
"17","157",1546.344
"13","011",605.616
"41","021",3167.129
"48","185",2076.138
"40","145",1530.106
"13","105",969.216
"47","071",1544.391
"13","093",1029.051
"47","143",871.286
"48","503",2410.912
"48","009",2397.276
"39","009",1316.848
"13","221",1144.873
"19","111",1395.715
"26","047",2284.360
"40","079",4166.035
"46","017",1263.296
